,,,,,,,SPEED DATA,,<- HRPDC TRAVEL TIME COLLECTION DATA ->,,,,INRIX DATA ->,,,,TRAVEL TIME RELIABILITY DATA,,,
JURIS NAME,MPA?,ROUTE #,FACILITY NAME,SEGMENT FROM,SEGMENT TO,DIR,1995 AM SPEED,1995 PM SPEED,2000 AM SPEED,2000 PM SPEED,2005 AM SPEED,2005 PM SPEED,2012 SLOWEST AM  SPEED,2012 HIGHEST AM  TTI,2012 SLOWEST PM  SPEED,2012 HIGHEST PM  TTI,2012 HIGHEST AM BUF INDEX,2012 HIGHEST AM PTI,2012 HIGHEST PM BUF INDEX,2012 HIGHEST PM PTI
JCC,Y,,,,,WB,65.0,65.0,65.0,65.0,69.1,63.7,68,0.96,70,0.93,0.22,1.14,0.15,1.07
JCC,Y,0064,I-64,RTE 30,CROAKER RD (RTE 607),EB,65.0,65.0,65.0,63.3,70.6,65.7,69,0.95,69,0.94,0.39,1.30,0.28,1.20
JCC,Y,,,,,WB,65.0,65.0,65.0,65.0,66.1,62.7,68,0.96,70,0.94,0.06,1.02,0.22,1.14
JCC,Y,0064,I-64,CROAKER RD (RTE 607),YORK CL,EB,65.0,65.0,65.0,65.0,64.7,67.5,68,0.95,69,0.94,0.32,1.24,0.06,1.01
JCC,Y,,,,,WB,65.0,65.0,65.0,65.0,69.4,62.9,67,0.96,69,0.95,0.07,1.02,0.07,1.02
JCC,Y,0064,I-64,YORK CL,NEWPORT NEWS CL,EB,61.0,65.0,63.4,59.6,65.3,65.4,66,0.99,60,1.13,1.00,1.96,2.71,3.92
JCC,Y,,,,,WB,62.2,63.3,62.6,62.8,62.3,64.7,67,0.97,66,1.00,0.29,1.25,0.34,1.30
JCC,Y,199,RTE 199,YORK CL,RICHMOND RD (RTE 60),EB,,,55.0,55.0,60.5,59.8,56,1.07,56,1.07,0.07,1.14,0.08,1.14
JCC,Y,,,,,WB,,,52.7,51.1,61.2,61.0,58,1.05,57,1.06,0.07,1.11,0.10,1.15
JCC,Y,199,RTE 199,RICHMOND RD (RTE 60),LONGHILL RD (RTE 612),EB,,,55.0,55.0,61.0,60.4,50,1.24,50,1.23,0.01,1.25,0.00,1.24
JCC,Y,,,,,WB,,,55.0,55.0,60.6,61.5,52,1.18,52,1.18,0.02,1.20,0.04,1.22
JCC,Y,199,RTE 199,LONGHILL RD (RTE 612),MONTICELLO AVE (RTE 321),EB,,,55.0,55.0,60.9,60.5,50,1.18,50,1.18,0.00,1.18,0.01,1.19
JCC,Y,,,,,WB,,,55.0,55.0,61.6,60.6,50,1.23,50,1.22,0.02,1.25,0.01,1.24
JCC,Y,199,RTE 199,MONTICELLO AVE (RTE 321),JOHN TYLER HWY (RTE 5),EB,,,37.2,50.8,60.1,55.6,45,1.23,42,1.31,0.10,1.36,0.14,1.51
JCC,Y,,,,,WB,,,49.6,47.4,58.4,46.3,49,1.12,49,1.13,0.04,1.17,0.06,1.19
NN,Y,0064,I-64,JAMES CITY CL,RTE 143 (NORTH),EB,61.0,65.0,63.4,59.6,65.3,65.4,66,0.99,60,1.13,1.00,1.96,2.71,3.92
NN,Y,,,,,WB,62.2,63.3,62.6,62.8,62.3,64.7,67,0.97,66,1.00,0.29,1.25,0.34,1.30
NN,Y,0064,I-64,RTE 143 (NORTH),YORKTOWN RD,EB,57.5,54.5,55.0,55.0,63.7,62.9,64,1.02,55,1.25,1.63,2.62,3.43,4.95
NN,Y,,,,,WB,53.7,53.7,53.7,55.0,63.1,63.6,67,0.97,66,0.98,0.42,1.37,0.46,1.42
NN,Y,0064,I-64,YORKTOWN RD,FORT EUSTIS BLVD,EB,53.8,53.8,55.0,55.0,63.2,40.0,62,1.05,49,1.47,1.66,2.73,2.96,5.05
NN,Y,,,,,WB,55.0,55.0,55.0,55.0,60.8,63.5,67,0.98,66,0.99,0.29,1.26,0.26,1.25
NN,Y,0064,I-64,FORT EUSTIS BLVD,JEFFERSON AVE,EB,55.0,55.0,55.0,53.4,62.5,49.6,65,0.99,60,1.09,0.30,1.28,0.57,1.70
NN,Y,,,,,WB,55.0,55.0,46.6,55.0,59.6,59.3,64,1.01,58,1.11,0.69,1.70,0.71,1.83
